2025-10-30 13:19:08 [main] INFO  com.testCases.TC001_AccountRegistration - *********Starting Accountregitration testcase**********
2025-10-30 13:19:09 [main] INFO  com.testCases.TC001_AccountRegistration - click on myaccount
2025-10-30 13:19:09 [main] INFO  com.testCases.TC001_AccountRegistration - click on register
2025-10-30 13:19:09 [main] INFO  com.testCases.TC001_AccountRegistration - Providing customer details
2025-10-30 13:19:13 [main] INFO  com.testCases.TC001_AccountRegistration - Valaidating confirmation message
2025-10-30 13:19:13 [main] INFO  com.testCases.TC001_AccountRegistration - Account regstration test is finished
2025-10-30 13:19:18 [main] INFO  com.testCases.TC002_UserLogin - *********Starting UserLogin testcase**********
2025-10-30 13:19:18 [main] INFO  com.testCases.TC002_UserLogin - click on myaccount
2025-10-30 13:19:19 [main] INFO  com.testCases.TC002_UserLogin - click on Login
2025-10-30 13:19:19 [main] INFO  com.testCases.TC002_UserLogin - Providing login details
2025-10-30 13:19:19 [main] INFO  com.testCases.TC002_UserLogin - Valaidating confirmation message
2025-10-30 13:19:20 [main] INFO  com.testCases.TC002_UserLogin - login test is finished
