2025-11-24 13:35:26 [main] INFO  com.testCases.TC001_AccountRegistration - Opening chrome browser
2025-11-24 13:35:30 [main] INFO  com.testCases.TC001_AccountRegistration - *********Starting Accountregitration testcase**********
2025-11-24 13:35:30 [main] INFO  com.testCases.TC001_AccountRegistration - click on myaccount
2025-11-24 13:35:31 [main] INFO  com.testCases.TC001_AccountRegistration - click on register
2025-11-24 13:35:31 [main] INFO  com.testCases.TC001_AccountRegistration - Providing customer details
2025-11-24 13:35:35 [main] INFO  com.testCases.TC001_AccountRegistration - Valaidating confirmation message
2025-11-24 13:35:35 [main] INFO  com.testCases.TC001_AccountRegistration - Account Created Successfully
2025-11-24 13:35:35 [main] INFO  com.testCases.TC001_AccountRegistration - Account regstration test is finished
2025-11-24 13:35:37 [main] INFO  com.testCases.TC002_UserLogin - Opening chrome browser
2025-11-24 13:35:40 [main] INFO  com.testCases.TC002_UserLogin - *********Starting UserLogin testcase**********
2025-11-24 13:35:40 [main] INFO  com.testCases.TC002_UserLogin - click on myaccount
2025-11-24 13:35:41 [main] INFO  com.testCases.TC002_UserLogin - click on Login
2025-11-24 13:35:41 [main] INFO  com.testCases.TC002_UserLogin - Providing login details
2025-11-24 13:35:42 [main] INFO  com.testCases.TC002_UserLogin - Valaidating confirmation message
2025-11-24 13:35:42 [main] INFO  com.testCases.TC002_UserLogin - Login Successfully
2025-11-24 13:35:42 [main] INFO  com.testCases.TC002_UserLogin - login test is finished
