2025-11-25 13:52:32 [main] WARN  org.testng.xml.TestNGContentHandler - It is strongly recommended to add "<!DOCTYPE suite SYSTEM "https://testng.org/testng-1.1.dtd" >" at the top of the suite file [C:\Users\admin\eclipse-workspace1\SwiftTest\Master.xml] otherwise TestNG may fail or not work as expected.
2025-11-25 13:52:33 [main] INFO  com.testCases.TC001_AccountRegistration - Opening chrome browser
2025-11-25 13:52:39 [main] INFO  com.testCases.TC001_AccountRegistration - *********Starting Accountregitration testcase**********
2025-11-25 13:52:39 [main] INFO  com.testCases.TC001_AccountRegistration - click on myaccount
2025-11-25 13:52:40 [main] INFO  com.testCases.TC001_AccountRegistration - click on register
2025-11-25 13:52:40 [main] INFO  com.testCases.TC001_AccountRegistration - Providing customer details
2025-11-25 13:52:44 [main] INFO  com.testCases.TC001_AccountRegistration - Valaidating confirmation message
2025-11-25 13:52:44 [main] INFO  com.testCases.TC001_AccountRegistration - Account Created Successfully
2025-11-25 13:52:44 [main] INFO  com.testCases.TC001_AccountRegistration - Account regstration test is finished
2025-11-25 13:52:44 [main] INFO  com.testCases.TC002_UserLogin - Opening chrome browser
2025-11-25 13:52:48 [main] INFO  com.testCases.TC002_UserLogin - *********Starting UserLogin testcase**********
2025-11-25 13:52:48 [main] INFO  com.testCases.TC002_UserLogin - click on myaccount
2025-11-25 13:52:48 [main] INFO  com.testCases.TC002_UserLogin - click on Login
2025-11-25 13:52:48 [main] INFO  com.testCases.TC002_UserLogin - Providing login details
2025-11-25 13:52:48 [main] INFO  com.testCases.TC002_UserLogin - Valaidating confirmation message
2025-11-25 13:52:59 [main] ERROR com.testCases.TC002_UserLogin - Exception occurred during login test: expected [true] but found [false]
2025-11-25 13:52:59 [main] INFO  com.testCases.TC002_UserLogin - Screenshot taken: C:\Users\admin\eclipse-workspace1\SwiftTest\Screenshots\UserLoginFailure_2025.11.25.13.52.59.png
